seed,net_worth,trades,final_cash,final_position
44171,10201.710121609683,2,10201.710121609683,0.0
44172,10261.745627292477,2,10261.745627292477,0.0
44173,11169.79573427532,10,11169.79573427532,0.0
44174,7874.694399812544,7,20.385768344023745,119.0
44175,10730.412559006998,6,10730.412559006998,0.0
44176,8345.01673219755,1,19.013349548631595,98.0
44177,7341.082483454793,1,64.59054098826527,98.0
44178,10478.302929191941,4,10478.302929191941,0.0
44179,10444.065833035434,4,10444.065833035434,0.0
44180,10696.919891990727,4,10696.919891990727,0.0
44181,8649.73980854098,3,38.0219383869462,105.0
44182,10658.490467960859,6,10658.490467960859,0.0
44183,10256.904095716107,2,10256.904095716107,0.0
44184,8273.728177451489,3,44.82385688407885,105.0
44185,10505.033392228917,4,10505.033392228917,0.0
44186,10878.518640011067,6,10878.518640011067,0.0
44187,10430.434506754878,4,10430.434506754878,0.0
44188,10230.9100529712,2,10230.9100529712,0.0
44189,10205.129374201902,2,10205.129374201902,0.0
44190,10285.658690219283,2,10285.658690219283,0.0
44191,10286.541048146522,2,10286.541048146522,0.0
44192,10969.993609791483,6,10969.993609791483,0.0
44193,6445.178628909126,3,87.67809084228065,107.0
44194,10213.085786196862,2,10213.085786196862,0.0
44195,10693.917324378503,6,10693.917324378503,0.0
44196,10543.40909502887,4,10543.40909502887,0.0
44197,10874.252057698328,8,10874.252057698328,0.0
44198,10229.871784082789,2,10229.871784082789,0.0
44199,9692.846785486969,1,53.46323038359333,99.0
44200,8888.586779959534,3,66.22700999996414,105.0
44201,10887.696197504285,6,10887.696197504285,0.0
44202,10477.345949156934,4,10477.345949156934,0.0
44203,5917.4111364280425,1,67.06013188844918,99.0
44204,10199.68152243278,2,10199.68152243278,0.0
44205,7201.891293198766,1,75.62647901877062,99.0
44206,10470.893810766996,4,10470.893810766996,0.0
44207,8788.240816994843,3,46.591486669776714,105.0
44208,10216.875768638885,2,10216.875768638885,0.0
44209,10198.055373019459,2,10198.055373019459,0.0
44210,10200.906836098691,2,10200.906836098691,0.0
44211,10209.137130267018,2,10209.137130267018,0.0
44212,10250.512251722597,2,10250.512251722597,0.0
44213,11157.88661788023,8,11157.88661788023,0.0
44214,9977.862052063461,5,3.7661876295805996,112.0
44215,10561.803887292688,4,10561.803887292688,0.0
44216,10197.091554718092,2,10197.091554718092,0.0
44217,8531.826449644725,3,22.455530844346868,106.0
44218,10531.580568078676,4,10531.580568078676,0.0
44219,10466.379978261764,4,10466.379978261764,0.0
44220,10485.819222163365,4,10485.819222163365,0.0
44221,10209.283583197152,2,10209.283583197152,0.0
44222,8474.371859206762,1,63.77489859691377,99.0
44223,10309.538354341363,2,10309.538354341363,0.0
44224,10822.78407757119,6,10822.78407757119,0.0
44225,10431.505579651057,4,10431.505579651057,0.0
44226,10297.072987172429,2,10297.072987172429,0.0
44227,10317.337039545877,2,10317.337039545877,0.0
44228,8379.560523312779,1,53.83420673973342,100.0
44229,7512.560324149201,1,71.13981539093948,100.0
